accelerometer_X,accelerometer_Y,accelerometer_Z,activity
11.683704,5.822699,0.311246,running
3.816358,13.713987,7.771578999999999,running
9.840169,4.644751,-12.378023,running
11.894394,-12.871228,-0.6272810000000001,running
14.073117000000002,12.229582,22.237345,running
19.009962,32.671276,10.936713,running
-0.387861,-2.710236,-6.971914999999999,running
-0.871489,8.427589999999999,3.983952,running
3.318364,12.124237,-6.368576,running
4.012682,4.927267,18.579004,running
-5.683835,5.559336,0.067038,running
10.596737,25.924416,4.884172,running
6.335058,-7.580042,4.477157,running
-4.548983,7.465121000000001,2.619257,running
22.261288,11.429919,6.133945,running
5.688624,12.215217,10.749966,running
-6.976703,5.31034,-2.011129,running
7.891288999999999,-14.877569,5.482722,running
9.993398,16.050728,-0.2585739999999999,running
-4.165911,6.770803,-4.908113,running
-1.723825,-5.334281,-2.954445,running
18.722658,31.924286,5.631162000000001,running
-8.5473,6.50744,-0.579397,running
8.384495,-11.999739,-2.777274,running
3.155558,10.989386,0.794875,running
3.825935,-0.0239419999999999,35.98964,running
2.839523,3.65834,11.942278,running
-4.544194,6.612785000000001,1.2545620000000002,running
2.786851,18.918982,5.415684,running
3.20823,-6.708553,-1.608903,running
9.840169,4.644751,-12.378023,running
11.894394,-12.871228,-0.6272810000000001,running
14.073117000000002,12.229582,22.237345,running
19.009962,32.671276,10.936713,running
-0.387861,-2.710236,-6.971914999999999,running
-0.871489,8.427589999999999,3.983952,running
3.318364,12.124237,-6.368576,running
4.012682,4.927267,18.579004,running
-5.683835,5.559336,0.067038,running
10.596737,25.924416,4.884172,running
6.335058,-7.580042,4.477157,running
-4.548983,7.465121000000001,2.619257,running
22.261288,11.429919,6.133945,running
5.688624,12.215217,10.749966,running
-6.976703,5.31034,-2.011129,running
7.891288999999999,-14.877569,5.482722,running
9.993398,16.050728,-0.2585739999999999,running
-4.165911,6.770803,-4.908113,running
-1.723825,-5.334281,-2.954445,running
18.722658,31.924286,5.631162000000001,running
-8.5473,6.50744,-0.579397,running
8.384495,-11.999739,-2.777274,running
3.155558,10.989386,0.794875,running
3.825935,-0.0239419999999999,35.98964,running
2.839523,3.65834,11.942278,running
-4.544194,6.612785000000001,1.2545620000000002,running
2.786851,18.918982,5.415684,running
3.20823,-6.708553,-1.608903,running
-4.419696,4.750097,4.209007,running
28.629864,26.125528,1.331176,running
14.073117000000002,12.229582,22.237345,running
19.009962,32.671276,10.936713,running
-0.387861,-2.710236,-6.971914999999999,running
-0.871489,8.427589999999999,3.983952,running
3.318364,12.124237,-6.368576,running
4.012682,4.927267,18.579004,running
-5.683835,5.559336,0.067038,running
10.596737,25.924416,4.884172,running
6.335058,-7.580042,4.477157,running
-4.548983,7.465121000000001,2.619257,running
22.261288,11.429919,6.133945,running
5.688624,12.215217,10.749966,running
