accelerometer_X,accelerometer_Y,accelerometer_Z,activity
-2.269703,-2.782062,2.39899,stairs
1.479617,-9.251195,-0.857124,stairs
5.152323,-11.702858,-2.27928,stairs
1.637634,-22.720974,-10.491392,stairs
-2.346318,-3.270479,1.063026,stairs
-1.685518,-7.580042,-1.623269,stairs
-1.80044,-7.465121000000001,-3.069367,stairs
-0.124498,-12.559982000000002,6.7516490000000005,stairs
1.7525560000000002,-17.501614,-3.801992,stairs
2.331953,-9.744401,-7.407660000000001,stairs
3.222596,-8.920795,-3.08852,stairs
-3.457227,-2.715025,0.148441,stairs
2.264915,-9.931149,-4.659116,stairs
0.9912,-10.903194,-8.183380999999999,stairs
2.226608,-8.044516999999999,-2.341529,stairs
-1.647211,-11.851298,6.775591,stairs
8.39886,-13.771448,-2.566584,stairs
2.494758,-10.328587,-8.690952000000001,stairs
0.8236049999999999,-7.383717999999999,-3.5960910000000004,stairs
-6.224924,-12.23437,-26.230873,stairs
1.273715,-6.502651,-3.572149,stairs
0.7230489999999999,-6.871359,-4.079719,stairs
2.226608,-7.575253999999999,-12.555194,stairs
3.284845,-11.96622,-3.892972,stairs
3.945645,-11.760319,-8.09719,stairs
2.801216,-9.32781,-5.133168,stairs
-1.35033,-3.380613,-0.057461,stairs
-0.253785,-6.373365,0.205901,stairs
-1.608903,-6.502651,-3.998317,stairs
1.685518,-10.146626,-1.115698,stairs
5.152323,-11.702858,-2.27928,stairs
1.637634,-22.720974,-10.491392,stairs
-2.346318,-3.270479,1.063026,stairs
-1.685518,-7.580042,-1.623269,stairs
-1.80044,-7.465121000000001,-3.069367,stairs
-0.124498,-12.559982000000002,6.7516490000000005,stairs
1.7525560000000002,-17.501614,-3.801992,stairs
2.331953,-9.744401,-7.407660000000001,stairs
3.222596,-8.920795,-3.08852,stairs
-3.457227,-2.715025,0.148441,stairs
2.264915,-9.931149,-4.659116,stairs
0.9912,-10.903194,-8.183380999999999,stairs
2.226608,-8.044516999999999,-2.341529,stairs
-1.647211,-11.851298,6.775591,stairs
8.39886,-13.771448,-2.566584,stairs
2.494758,-10.328587,-8.690952000000001,stairs
0.8236049999999999,-7.383717999999999,-3.5960910000000004,stairs
-6.224924,-12.23437,-26.230873,stairs
1.273715,-6.502651,-3.572149,stairs
0.7230489999999999,-6.871359,-4.079719,stairs
2.226608,-7.575253999999999,-12.555194,stairs
3.284845,-11.96622,-3.892972,stairs
3.945645,-11.760319,-8.09719,stairs
2.801216,-9.32781,-5.133168,stairs
-1.35033,-3.380613,-0.057461,stairs
-0.253785,-6.373365,0.205901,stairs
-1.608903,-6.502651,-3.998317,stairs
1.685518,-10.146626,-1.115698,stairs
-0.474052,-4.13718,-1.249773,stairs
-0.761356,-9.203311,-2.178723,stairs
-2.346318,-3.270479,1.063026,stairs
-1.685518,-7.580042,-1.623269,stairs
-1.80044,-7.465121000000001,-3.069367,stairs
-0.124498,-12.559982000000002,6.7516490000000005,stairs
1.7525560000000002,-17.501614,-3.801992,stairs
2.331953,-9.744401,-7.407660000000001,stairs
3.222596,-8.920795,-3.08852,stairs
-3.457227,-2.715025,0.148441,stairs
2.264915,-9.931149,-4.659116,stairs
0.9912,-10.903194,-8.183380999999999,stairs
2.226608,-8.044516999999999,-2.341529,stairs
-1.647211,-11.851298,6.775591,stairs
8.39886,-13.771448,-2.566584,stairs
2.494758,-10.328587,-8.690952000000001,stairs
0.8236049999999999,-7.383717999999999,-3.5960910000000004,stairs
-6.224924,-12.23437,-26.230873,stairs
1.273715,-6.502651,-3.572149,stairs
0.7230489999999999,-6.871359,-4.079719,stairs
2.226608,-7.575253999999999,-12.555194,stairs
3.284845,-11.96622,-3.892972,stairs
3.945645,-11.760319,-8.09719,stairs
2.801216,-9.32781,-5.133168,stairs
-1.35033,-3.380613,-0.057461,stairs
-0.253785,-6.373365,0.205901,stairs
-1.608903,-6.502651,-3.998317,stairs
1.685518,-10.146626,-1.115698,stairs
-0.474052,-4.13718,-1.249773,stairs
-0.761356,-9.203311,-2.178723,stairs
-1.278504,-4.1419690000000005,0.253785,stairs
-0.3304,-6.105214,-3.284845,stairs
-1.80044,-7.465121000000001,-3.069367,stairs
-0.124498,-12.559982000000002,6.7516490000000005,stairs
1.7525560000000002,-17.501614,-3.801992,stairs
2.331953,-9.744401,-7.407660000000001,stairs
3.222596,-8.920795,-3.08852,stairs
-3.457227,-2.715025,0.148441,stairs
2.264915,-9.931149,-4.659116,stairs
0.9912,-10.903194,-8.183380999999999,stairs
2.226608,-8.044516999999999,-2.341529,stairs
-1.647211,-11.851298,6.775591,stairs
8.39886,-13.771448,-2.566584,stairs
2.494758,-10.328587,-8.690952000000001,stairs
